attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
-1329228221,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-10-02,23,45
-1288714113,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-10-05,11,50
1054364947,Yemen,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2000-10-12,17,40
-1284352608,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-10-19,1,23
848633772,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-10-23,2,20
-116555980,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2000-10-26,0,1
-527770560,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2000-11-05,0,0
-2041101255,Russia,"Chechen Separatists vs. Russia","Confirmed Suicide",2000-12-08,1,9
-247587657,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2000-12-22,1,9
1224350209,India,"Kashmiri Rebels vs. India","Confirmed Suicide",2000-12-25,8,26
975458768,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-01-01,0,35
1240523206,Turkey,"Isolated Attacks","Confirmed Suicide",2001-01-03,2,7
485876100,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-04,3,66
1232128244,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-03-21,11,7
-270081544,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-27,1,23
1106085676,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-28,2,4
143181088,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-04-22,2,50
1501618655,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-04-29,12,0
1998363464,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-18,7,110
-1723137641,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-25,2,65
-125593055,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-25,0,0
856994392,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-29,0,1
-946572661,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-06-01,20,108
-463111349,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-06-22,3,0
725110279,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-07-09,0,0
1148691587,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-07-16,3,10
-71270121,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",2001-07-24,8,12
1233095963,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-08-08,0,1
-999257823,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-08-09,19,120
-282686277,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-08-12,0,16
-1637462487,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-09-04,5,13
544543731,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-09-09,0,13
1198171981,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-09-09,4,74
1920462613,Afghanistan,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2001-09-09,2,0
1058988156,Turkey,"Isolated Attacks","Confirmed Suicide",2001-09-10,2,21
-1207612841,"United States","Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2001-09-11,2753,6185
